"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",1,0.001,8,0,0.6,3,0.5,2000,1.72372040017465,0.454292638709647,1.68628596317577,0.00276849235352005,0.0142161065235761,0.00327848941300275
"2",4,0.001,8,0,0.6,3,0.75,2000,1.72292891555639,0.459420216445271,1.68602557301358,0.00275414411031173,0.0143656144022552,0.0032793391242958
"3",7,0.001,8,0,0.6,3,1,2000,1.72243947798973,0.462567242015342,1.68586452649541,0.00274990104013565,0.0144879852596279,0.00329091553482808
"4",10,0.001,8,0,0.8,3,0.5,2000,1.72349767697724,0.455601693603346,1.68640866289792,0.00279711444738687,0.0142988061472449,0.00331201846124188
"5",13,0.001,8,0,0.8,3,0.75,2000,1.72272473859437,0.460145280966194,1.68612553274626,0.0027990186327771,0.0144051671078383,0.00332553374494355
"6",16,0.001,8,0,0.8,3,1,2000,1.72225831080669,0.463030578916645,1.68597134385743,0.00280996796090484,0.0144536249026749,0.00334308530654099
"7",2,0.001,8,0,0.6,3,0.5,2100,1.56976651859082,0.456743325220231,1.5317146086812,0.00274151922461453,0.0142796152578849,0.0031715158070731
"8",5,0.001,8,0,0.6,3,0.75,2100,1.5689451444183,0.461538383370943,1.53144347133273,0.0027247350910815,0.0144302400572894,0.00317200107503456
"9",8,0.001,8,0,0.6,3,1,2100,1.56843933506824,0.4644486196704,1.5312738333516,0.00271995304645812,0.0145347161994106,0.00318286841664593
"10",11,0.001,8,0,0.8,3,0.5,2100,1.56953702037565,0.458053806592195,1.53185247507579,0.00276419961408419,0.0143583517796176,0.00320329512006105
"11",14,0.001,8,0,0.8,3,0.75,2100,1.56873618320618,0.462282062423834,1.53155494548216,0.00276659863591207,0.0144668716337381,0.00321771443978875
"12",17,0.001,8,0,0.8,3,1,2100,1.56825222377411,0.46489170969927,1.53138103448635,0.00277714082013397,0.0145182040339561,0.0032332502484497
"13",3,0.001,8,0,0.6,3,0.5,2500,1.09637143237851,0.465155152950236,1.05395575210441,0.00280469470088693,0.0145036799813571,0.00281402286143186
"14",6,0.001,8,0,0.6,3,0.75,2500,1.09544069169252,0.468685458556126,1.05359516051559,0.0027827478461215,0.0146082035134344,0.00280715950844138
"15",9,0.001,8,0,0.6,3,1,2500,1.09488550231357,0.470683320725534,1.05338144838683,0.00277695496811314,0.0147165689612557,0.00280712820336963
"16",12,0.001,8,0,0.8,3,0.5,2500,1.09612471835231,0.466308036667493,1.05410116182529,0.00281903027919772,0.0145724912983725,0.0028337157967146
"17",15,0.001,8,0,0.8,3,0.75,2500,1.09523136195161,0.469308307853527,1.05371492266605,0.00280909788078,0.0146435098404643,0.00283735066692362
"18",18,0.001,8,0,0.8,3,1,2500,1.0947124493588,0.470934149847435,1.05347636018295,0.00282200292450215,0.0146934678994554,0.00285727294167057
"19",1,0.001,8,0,0.6,3,0.5,2700,0.928387263792513,0.46868157297217,0.88161179644647,0.00326648247580759,0.016929144875314,0.00317315338938643
"20",4,0.001,8,0,0.6,3,0.75,2700,0.927421893752357,0.471727467436782,0.881216636233852,0.00326760155997055,0.0170380342667454,0.00318363413522504
"21",7,0.001,8,0,0.6,3,1,2700,0.926859264563168,0.473366519181444,0.880976484901653,0.00326165742398755,0.0170615435093609,0.00319332338379029
"22",10,0.001,8,0,0.8,3,0.5,2700,0.928127876088339,0.469759496531568,0.88174720451803,0.00326485442976097,0.0169619353044649,0.0031787643475686
"23",13,0.001,8,0,0.8,3,0.75,2700,0.927218200133253,0.472262363037194,0.881334035377919,0.00327815626761358,0.0170577905339817,0.00320025924584119
"24",16,0.001,8,0,0.8,3,1,2700,0.926708990005315,0.473579767704558,0.881086076944672,0.0032681767161786,0.0171122040544103,0.0032028611879281
"25",2,0.001,8,0,0.6,3,0.5,2900,0.795961272422773,0.471482706164617,0.743186504467159,0.00360026099215054,0.0169780017402275,0.00311062557889216
"26",5,0.001,8,0,0.6,3,0.75,2900,0.794982200887043,0.474116424162339,0.742746710075126,0.00360836891108242,0.0170801189162063,0.00312558019441158
"27",8,0.001,8,0,0.6,3,1,2900,0.794437352087735,0.475442100662151,0.74249530390112,0.00360264761484422,0.0170763298533764,0.00313802019292955
"28",11,0.001,8,0,0.8,3,0.5,2900,0.795697955495732,0.472415824019708,0.743267841956532,0.00359957745011075,0.0169970591049088,0.00311677502054277
"29",14,0.001,8,0,0.8,3,0.75,2900,0.794789398014322,0.474562343774852,0.742823663650221,0.00361309163944914,0.017078935022174,0.00313500452096172
