"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",0.01,6,0.05,0.6,5,0.8,1000,0.398736154076941,0.502491382685822,0.241989930494546,0.0103234835274557,0.0156368834766815,0.00365615982010464
"7",0.01,6,0.05,0.6,6,0.8,1000,0.398739990343528,0.502479298643781,0.241976499473389,0.0103028946741632,0.015600933883658,0.00365271471598431
"13",0.01,6,0.05,1,5,0.8,1000,0.398873331426887,0.502088522391114,0.242056857747452,0.0103490663729683,0.0156386870462212,0.00367502922788588
"19",0.01,6,0.05,1,6,0.8,1000,0.398835323698556,0.50218520133387,0.242011200288242,0.0103457197693704,0.0156348062184191,0.00367981420637203
"25",0.01,6,0.1,0.6,5,0.8,1000,0.398751830589145,0.502450124053271,0.241993239303051,0.010336414777434,0.0156717534679625,0.00368512879693694
"31",0.01,6,0.1,0.6,6,0.8,1000,0.398714843783471,0.502544294490729,0.241951746172551,0.0102896026612405,0.015537804678757,0.00368152057431539
"37",0.01,6,0.1,1,5,0.8,1000,0.398869572233491,0.502098054321035,0.242066132195592,0.0103331938126542,0.0156300518884129,0.00367679639965696
"43",0.01,6,0.1,1,6,0.8,1000,0.398860722841049,0.502124211996615,0.24203500485074,0.0103304775972749,0.0156272319832371,0.00366215964211614
"49",0.01,8,0.05,0.6,5,0.8,1000,0.396671858820203,0.507492082681554,0.239776872984267,0.0104318207619558,0.0158511759229073,0.00374847250096536
"55",0.01,8,0.05,0.6,6,0.8,1000,0.396681433805303,0.507469116090081,0.239743726379246,0.0104382488154837,0.0158969246768467,0.00372020561187745
"61",0.01,8,0.05,1,5,0.8,1000,0.397200836705778,0.506112622541866,0.240273581879641,0.0104751146809937,0.0159158707597335,0.00376619394395478
"67",0.01,8,0.05,1,6,0.8,1000,0.397174913289077,0.506179101054504,0.240230450209675,0.010456678183695,0.0158728780050451,0.00374474495540642
"73",0.01,8,0.1,0.6,5,0.8,1000,0.396655114848315,0.507533522019354,0.239762016356995,0.0104347590893792,0.0158808349878306,0.00374217886384195
"79",0.01,8,0.1,0.6,6,0.8,1000,0.396668078612589,0.507502240680389,0.239756536607911,0.010460327150912,0.0159118019225025,0.00374908310171958
"85",0.01,8,0.1,1,5,0.8,1000,0.397181127458979,0.506161656158487,0.240292055963143,0.0104805669970303,0.0159088169375489,0.00376662292497547
"91",0.01,8,0.1,1,6,0.8,1000,0.397180996750691,0.506163296920866,0.240255790613735,0.010447545354897,0.0158906869450589,0.00377393146965631
"2",0.01,6,0.05,0.6,5,0.8,2000,0.396753552646728,0.507227638745689,0.23957575963735,0.0104574195538769,0.0159415988059362,0.00372215128138098
"8",0.01,6,0.05,0.6,6,0.8,2000,0.396744147726566,0.507250245641858,0.239549834810518,0.0104111763955659,0.0158224247425232,0.00372464147660571
"14",0.01,6,0.05,1,5,0.8,2000,0.397052439549378,0.506443676661017,0.239867808573299,0.0104570158806556,0.0159008626935714,0.00374559374869469
"20",0.01,6,0.05,1,6,0.8,2000,0.397018893264968,0.506530093030181,0.239830815368734,0.0104679815305301,0.0159059286853636,0.00376484021270934
"26",0.01,6,0.1,0.6,5,0.8,2000,0.396780103849962,0.507159678199397,0.239589966552534,0.0104633811173408,0.0159523117515457,0.00375617489018242
"32",0.01,6,0.1,0.6,6,0.8,2000,0.396724892029514,0.50729877550942,0.239521677090666,0.0104334821888257,0.0158489171297744,0.00376635072552548
"38",0.01,6,0.1,1,5,0.8,2000,0.397061921167356,0.506421334105203,0.239915100687452,0.0104629384533492,0.0159060935556993,0.00375849078185866
"44",0.01,6,0.1,1,6,0.8,2000,0.397018668807548,0.506532002360049,0.239831552082686,0.0104534700519525,0.0159119521834624,0.00373649079236304
"50",0.01,8,0.05,0.6,5,0.8,2000,0.395868033813335,0.509350143241343,0.238844674394595,0.0105551730112935,0.0161474428991164,0.00382650464708282
"56",0.01,8,0.05,0.6,6,0.8,2000,0.395812498067301,0.509486636771719,0.238742375919528,0.010543749043795,0.016165462763776,0.00381495075363116
"62",0.01,8,0.05,1,5,0.8,2000,0.396864924690298,0.506896181365126,0.239839703434735,0.0105592616570656,0.0161421269081748,0.00381638962054003
"68",0.01,8,0.05,1,6,0.8,2000,0.396773398931712,0.5071172892961,0.239720900392613,0.0105922627743787,0.0161914480281709,0.00382540833594095
"74",0.01,8,0.1,0.6,5,0.8,2000,0.39583158087943,0.509440164303247,0.238796550736683,0.0105618653626075,0.0161499323007254,0.00380170652634159
"80",0.01,8,0.1,0.6,6,0.8,2000,0.39581028970564,0.509491652350469,0.238754173326051,0.0105693415746034,0.0161655351457998,0.00381926613860185
"86",0.01,8,0.1,1,5,0.8,2000,0.396842343488304,0.506951400530891,0.239836869584988,0.0106149516841538,0.0162642324552949,0.00384163872103352
"92",0.01,8,0.1,1,6,0.8,2000,0.396783317000589,0.507090482410258,0.23976033755837,0.0105116578751496,0.0160859176612313,0.00379220972447242
"3",0.01,6,0.05,0.6,5,0.8,3000,0.39619697740096,0.508545784039646,0.239003530061346,0.010530222580791,0.016088749467216,0.00376902008294138
"9",0.01,6,0.05,0.6,6,0.8,3000,0.396189203700854,0.50856429331812,0.238974080994795,0.0104954388571964,0.0160491424243973,0.00378277958454084
"15",0.01,6,0.05,1,5,0.8,3000,0.396705628054336,0.507269919752195,0.23954007464439,0.0105207383637145,0.0160895888274815,0.00378320596590016
"21",0.01,6,0.05,1,6,0.8,3000,0.396650685526499,0.507406759651838,0.239485328373782,0.010535701847033,0.0160844520514127,0.00380080998546032
"27",0.01,6,0.1,0.6,5,0.8,3000,0.396222720291307,0.508481031109718,0.239015503231242,0.0105275652307773,0.0161231582097158,0.00378142204924464
"33",0.01,6,0.1,0.6,6,0.8,3000,0.396174360309356,0.508601718399791,0.238959501563783,0.0105010090413257,0.0160001079775548,0.0038187727945162
"39",0.01,6,0.1,1,5,0.8,3000,0.396742038373458,0.507180306634041,0.239581253244444,0.0105334716527791,0.0160787116153002,0.0038022610589845
"45",0.01,6,0.1,1,6,0.8,3000,0.396682143514913,0.507328760794097,0.239508355107833,0.0105251656035219,0.0160901613922337,0.00377807718212406
"51",0.01,8,0.05,0.6,5,0.8,3000,0.396396949455624,0.508106933267041,0.239458555485286,0.0106245953315904,0.0163273273741458,0.0038657723303977
"57",0.01,8,0.05,0.6,6,0.8,3000,0.396311653056093,0.508309684321406,0.239336225371902,0.0106018416495148,0.0163376568750051,0.00384073987890904
"63",0.01,8,0.05,1,5,0.8,3000,0.397892953051494,0.504543163499942,0.240962992615877,0.0105886233492854,0.016288488448924,0.00383873925353749
"69",0.01,8,0.05,1,6,0.8,3000,0.39774038144509,0.504897932047766,0.240778625812086,0.010643207633228,0.0163853722175429,0.00386232224709635
"75",0.01,8,0.1,0.6,5,0.8,3000,0.396342369379113,0.508239638490279,0.23940442395705,0.0106198279209934,0.0163021949565057,0.00381950970489544
"81",0.01,8,0.1,0.6,6,0.8,3000,0.396269145367684,0.508411483522797,0.239323421015611,0.0106204267146935,0.0163240547530351,0.00383287207396976
"87",0.01,8,0.1,1,5,0.8,3000,0.39784286422169,0.504660938404125,0.240898380420949,0.010641308920038,0.0163968698470742,0.00384982183099706
"93",0.01,8,0.1,1,6,0.8,3000,0.397734523715252,0.504908925793603,0.24079943611731,0.0105812313043167,0.0162972143965488,0.0038267116587578
"4",0.01,6,0.05,0.6,5,0.8,4000,0.396126245944902,0.508711977189989,0.238980504566778,0.0105753819841164,0.0161782542381831,0.00380025909241998
"10",0.01,6,0.05,0.6,6,0.8,4000,0.39610032199596,0.50877543733156,0.238939222267003,0.0105524314673277,0.0161765179206012,0.0038190610314865
"16",0.01,6,0.05,1,5,0.8,4000,0.396850408147802,0.506940867839681,0.239756527031164,0.0105634646284984,0.0162022584248034,0.00380523493895164
"22",0.01,6,0.05,1,6,0.8,4000,0.396792192156082,0.507082634029616,0.239680390130022,0.0105791355448546,0.0162127780812605,0.00382502688060149
"28",0.01,6,0.1,0.6,5,0.8,4000,0.396143716435248,0.508668116446512,0.238988940215911,0.010565837254448,0.0162161904266499,0.00379387301869685
"34",0.01,6,0.1,0.6,6,0.8,4000,0.396090981757116,0.508797948071704,0.238927849295424,0.010540399113837,0.0160960706790226,0.00384755551267886
"40",0.01,6,0.1,1,5,0.8,4000,0.39688098503405,0.506865403141696,0.239768241269735,0.0105824403246508,0.0162356461539479,0.00382705947235915
"46",0.01,6,0.1,1,6,0.8,4000,0.39680854781146,0.507041966653381,0.239706457565776,0.0105687499048395,0.016207126973604,0.00380003516790547
"52",0.01,8,0.05,0.6,5,0.8,4000,0.397372601798467,0.505879172813214,0.240510016486998,0.0106486433249927,0.016427695874652,0.00388567032062509
"58",0.01,8,0.05,0.6,6,0.8,4000,0.397264051993347,0.506127890524001,0.240376653622757,0.0106313381014244,0.0164396416782184,0.00387054580192263
"64",0.01,8,0.05,1,5,0.8,4000,0.39933617820452,0.501310616438138,0.242441670545966,0.0106340335722954,0.0164735575752288,0.00387082266456645
"70",0.01,8,0.05,1,6,0.8,4000,0.399153961326598,0.501721843226242,0.242236135406955,0.0106644872447213,0.016511717803193,0.00388283826407483
"76",0.01,8,0.1,0.6,5,0.8,4000,0.397307618790187,0.506030988625197,0.24043326285322,0.0106429476262792,0.0164070441193445,0.00381152870764899
"82",0.01,8,0.1,0.6,6,0.8,4000,0.39720639595606,0.506260547209998,0.240343717032916,0.0106491667994615,0.0164406177725958,0.0038469551013138
"88",0.01,8,0.1,1,5,0.8,4000,0.399222778317628,0.501572025167546,0.242319913785929,0.010657002742186,0.0165037309925092,0.00386997776415211
"94",0.01,8,0.1,1,6,0.8,4000,0.399106963300867,0.501824613971745,0.2422277649003,0.0105949416426598,0.0163960394561946,0.00382604146016018
"5",0.01,6,0.05,0.6,5,0.8,5000,0.396313108097318,0.508278265189283,0.239214749754198,0.0106169358788853,0.0162869362606276,0.00382045997732688
"11",0.01,6,0.05,0.6,6,0.8,5000,0.396271855197195,0.508378509005074,0.239168706200963,0.0105795927195248,0.0162481652885428,0.00383324598949081
"17",0.01,6,0.05,1,5,0.8,5000,0.397252976337345,0.506018987658169,0.240208077840922,0.0106022704916346,0.0163216820158967,0.00381887281704245
"23",0.01,6,0.05,1,6,0.8,5000,0.397169856528819,0.506219349731213,0.240137967372251,0.010598523752918,0.0162891867099218,0.00383810431179542
"29",0.01,6,0.1,0.6,5,0.8,5000,0.396319599711779,0.508262351853561,0.239209341590197,0.0106091266604088,0.0163292790178841,0.0038105688391992
"35",0.01,6,0.1,0.6,6,0.8,5000,0.396243955739418,0.508445136166587,0.239154150789401,0.0106069843295458,0.0162718503433663,0.00387077597052624
"41",0.01,6,0.1,1,5,0.8,5000,0.39725581141667,0.506010404298032,0.240201104637117,0.0106268297663882,0.0163696584999275,0.00384156513185743
"47",0.01,6,0.1,1,6,0.8,5000,0.397178867508593,0.506195949626224,0.240150418184202,0.0106024596869578,0.0163028151788081,0.00380883087492658
"53",0.01,8,0.05,0.6,5,0.8,5000,0.398596194416206,0.503132537773055,0.241764854651728,0.0106557845040895,0.016500532763408,0.00390772612120307
"59",0.01,8,0.05,0.6,6,0.8,5000,0.398439230905447,0.503488425273791,0.241618864116547,0.0106304463380646,0.0164896393083143,0.00387383691263557
"65",0.01,8,0.05,1,5,0.8,5000,0.40095400064995,0.497754397641989,0.244043210800051,0.0106128535038668,0.0165244774192749,0.00386291387735264
"71",0.01,8,0.05,1,6,0.8,5000,0.400751586311695,0.498200913996174,0.243841168059734,0.0106754827239675,0.0165770682452154,0.00390957556361369
"77",0.01,8,0.1,0.6,5,0.8,5000,0.398471675279157,0.503418583220551,0.241641674348558,0.0106631464175015,0.0165044685232981,0.0038318694373358
"83",0.01,8,0.1,0.6,6,0.8,5000,0.398332911339721,0.503729006247616,0.241537737799567,0.0106709004822165,0.0165202998436798,0.00386280786908701
"89",0.01,8,0.1,1,5,0.8,5000,0.400782884151097,0.49814122398452,0.243862912377314,0.0106740288444163,0.0166090154647496,0.00389835602037911
"95",0.01,8,0.1,1,6,0.8,5000,0.400618871798059,0.49849685049666,0.243754870507497,0.0106040278793613,0.0164659880507631,0.00383079882387387
"6",0.01,6,0.05,0.6,5,0.8,6000,0.396637798976497,0.507535056499681,0.23961204037826,0.0106413459160372,0.0163576177781458,0.00383865719700533
"12",0.01,6,0.05,0.6,6,0.8,6000,0.396585330977735,0.507660108722066,0.239552298990018,0.0106178062215094,0.0163411793820641,0.00384741074813531
"18",0.01,6,0.05,1,5,0.8,6000,0.397783373399735,0.504818410560432,0.240788267264427,0.0106203946498323,0.0164062988222247,0.00383791815948702
"24",0.01,6,0.05,1,6,0.8,6000,0.39766815811582,0.50509243460997,0.240712055931238,0.010622843280996,0.0163715587513807,0.00384550955432696
"30",0.01,6,0.1,0.6,5,0.8,6000,0.396641611278128,0.507525570500925,0.239588586794137,0.0106472568933902,0.0164238463175557,0.00382117695982202
"36",0.01,6,0.1,0.6,6,0.8,6000,0.396561297016913,0.507716979642648,0.239533979715286,0.0106317988148664,0.0163312477338796,0.00388481499098951
"42",0.01,6,0.1,1,5,0.8,6000,0.397773298109579,0.504839987126883,0.240776304188611,0.0106586330042957,0.0164765947731888,0.00385248910797709
"48",0.01,6,0.1,1,6,0.8,6000,0.397701351490537,0.505010530465664,0.240730584653516,0.0106249384415682,0.0163831197608969,0.00380772629226158
"54",0.01,8,0.05,0.6,5,0.8,6000,0.399930026798947,0.50019320910795,0.243085460860948,0.010670529368909,0.0166046710526405,0.00392323678213161
"60",0.01,8,0.05,0.6,6,0.8,6000,0.399759190349193,0.500569898860901,0.242952622736214,0.0106345280264691,0.0165589410311587,0.00387892968517857
"66",0.01,8,0.05,1,5,0.8,6000,0.40262635807739,0.494145821934243,0.245637188833693,0.0106180570141822,0.0166038584656196,0.00388298388007891
"72",0.01,8,0.05,1,6,0.8,6000,0.402418287421461,0.494591546159768,0.245467601955825,0.0106505577629883,0.0165951714938486,0.00390828067918434
"78",0.01,8,0.1,0.6,5,0.8,6000,0.399731004932468,0.500641717531341,0.242903669868255,0.0106769521177441,0.0165649454553922,0.00385143551802581
"84",0.01,8,0.1,0.6,6,0.8,6000,0.399557994928808,0.501020489651965,0.242791160703304,0.0106551688763329,0.0165358330387041,0.0038522885796664
"90",0.01,8,0.1,1,5,0.8,6000,0.40238817208401,0.494672818875074,0.245389357609859,0.0106850977565923,0.016715610116868,0.00393099653296473
"96",0.01,8,0.1,1,6,0.8,6000,0.402201082226289,0.495070525349017,0.245292968306327,0.0105873587079919,0.0164888547116108,0.00384340495920685
