NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,6,"$178,750 ","$445,958 ","$490,000 ","$530,000 "
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        ,2,"$475,000 ","$507,500 ","$507,500 ","$540,000 "
AIRPORT LA GUARDIA       ,03 THREE FAMILY HOMES                      ,1,"$745,000 ","$745,000 ","$745,000 ","$745,000 "
ARVERNE                  ,01 ONE FAMILY HOMES                        ,87,"$160,000 ","$305,615 ","$295,000 ","$700,000 "
ARVERNE                  ,02 TWO FAMILY HOMES                        ,180,"$150,000 ","$414,127 ","$417,500 ","$540,000 "
ARVERNE                  ,03 THREE FAMILY HOMES                      ,20,"$220,000 ","$475,373 ","$471,000 ","$890,000 "
ASTORIA                  ,01 ONE FAMILY HOMES                        ,85,"$200,000 ","$578,771 ","$564,000 ","$2,175,000 "
ASTORIA                  ,02 TWO FAMILY HOMES                        ,210,"$175,000 ","$685,243 ","$670,000 ","$2,000,000 "
ASTORIA                  ,03 THREE FAMILY HOMES                      ,83,"$150,000 ","$715,707 ","$740,000 ","$1,075,000 "
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,424,"$180,000 ","$651,426 ","$634,500 ","$2,000,000 "
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,131,"$200,000 ","$764,615 ","$773,800 ","$1,181,170 "
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,14,"$233,333 ","$822,550 ","$848,500 ","$999,000 "
BEECHHURST               ,01 ONE FAMILY HOMES                        ,66,"$160,000 ","$825,152 ","$800,000 ","$1,635,000 "
BEECHHURST               ,02 TWO FAMILY HOMES                        ,2,"$625,000 ","$725,000 ","$725,000 ","$825,000 "
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,38,"$250,000 ","$739,896 ","$750,000 ","$1,200,000 "
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,37,"$290,000 ","$868,257 ","$885,000 ","$1,400,000 "
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,3,"$710,000 ","$836,667 ","$820,000 ","$980,000 "
BELLEROSE                ,01 ONE FAMILY HOMES                        ,181,"$205,000 ","$493,579 ","$490,000 ","$765,000 "
BELLEROSE                ,02 TWO FAMILY HOMES                        ,49,"$250,000 ","$554,675 ","$550,000 ","$795,000 "
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,39,"$380,000 ","$568,715 ","$550,000 ","$965,000 "
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,24,"$370,000 ","$617,671 ","$625,000 ","$825,000 "
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,11,"$200,000 ","$760,500 ","$740,000 ","$1,400,000 "
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,27,"$155,000 ","$344,525 ","$320,000 ","$570,000 "
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,7,"$177,500 ","$385,543 ","$465,000 ","$593,336 "
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,170,"$150,000 ","$373,047 ","$382,500 ","$550,000 "
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,10,"$200,000 ","$377,610 ","$409,500 ","$505,000 "
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,125,"$257,500 ","$505,107 ","$485,000 ","$930,000 "
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,192,"$195,000 ","$638,621 ","$650,000 ","$1,225,000 "
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,15,"$527,000 ","$687,683 ","$640,000 ","$1,215,000 "
CORONA                   ,01 ONE FAMILY HOMES                        ,86,"$225,000 ","$519,546 ","$496,500 ","$1,290,000 "
CORONA                   ,02 TWO FAMILY HOMES                        ,273,"$150,000 ","$644,981 ","$650,000 ","$1,150,000 "
CORONA                   ,03 THREE FAMILY HOMES                      ,204,"$150,000 ","$725,283 ","$742,500 ","$1,750,000 "
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,66,"$325,000 ","$861,461 ","$764,000 ","$2,350,000 "
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,16,"$575,000 ","$802,928 ","$792,026 ","$972,428 "
EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,113,"$168,000 ","$476,256 ","$480,000 ","$1,160,000 "
EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,139,"$150,000 ","$625,408 ","$635,000 ","$975,000 "
EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,42,"$233,333 ","$691,492 ","$738,500 ","$1,200,000 "
ELMHURST                 ,01 ONE FAMILY HOMES                        ,151,"$162,500 ","$516,072 ","$510,000 ","$970,000 "
ELMHURST                 ,02 TWO FAMILY HOMES                        ,194,"$160,000 ","$619,013 ","$625,000 ","$1,250,000 "
ELMHURST                 ,03 THREE FAMILY HOMES                      ,136,"$150,000 ","$775,399 ","$790,000 ","$1,475,000 "
FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,149,"$150,000 ","$435,598 ","$410,000 ","$1,600,000 "
FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,213,"$165,000 ","$470,331 ","$471,293 ","$930,000 "
FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,57,"$250,000 ","$542,749 ","$549,000 ","$1,100,000 "
FLORAL PARK              ,01 ONE FAMILY HOMES                        ,179,"$151,500 ","$534,086 ","$525,000 ","$890,000 "
FLORAL PARK              ,02 TWO FAMILY HOMES                        ,9,"$150,000 ","$559,389 ","$600,000 ","$675,000 "
FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,668,"$181,154 ","$607,745 ","$600,000 ","$1,510,000 "
FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,267,"$160,000 ","$700,186 ","$720,000 ","$1,400,000 "
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,87,"$180,000 ","$792,644 ","$805,000 ","$1,390,000 "
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,342,"$150,000 ","$565,353 ","$540,000 ","$1,300,000 "
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,106,"$200,000 ","$654,702 ","$649,500 ","$1,160,000 "
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,21,"$150,000 ","$749,416 ","$733,000 ","$998,980 "
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,196,"$175,000 ","$864,881 ","$722,500 ","$2,600,000 "
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,40,"$300,000 ","$716,312 ","$642,240 ","$1,960,000 "
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,3,"$608,000 ","$774,333 ","$750,000 ","$965,000 "
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,112,"$200,000 ","$618,744 ","$628,000 ","$990,000 "
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,18,"$395,000 ","$616,306 ","$659,750 ","$778,000 "
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,24,"$360,000 ","$531,813 ","$515,000 ","$760,000 "
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,4,"$370,000 ","$482,500 ","$512,500 ","$535,000 "
GLEN OAKS                ,03 THREE FAMILY HOMES                      ,1,"$720,000 ","$720,000 ","$720,000 ","$720,000 "
