"INDEX","PRICE"
551.2,687616.429551431
552.26,146274.146369461
553.32,173057.825706555
554.38,179722.23794668
555.44,173496.019313213
556.5,662754.688616533
557.56,172126.271499396
558.62,586796.103725924
559.68,609145.892676508
560.74,172280.173502227
561.8,753972.361248834
562.86,591068.873017212
563.92,451766.476234568
564.98,495967.664753172
566.04,527117.124439043
567.1,904669.45020585
568.16,535701.572914922
569.22,554009.254475638
570.28,959755.47773913
571.34,496176.968189343
572.4,612404.041781452
573.46,492835.689771778
574.52,464388.387092729
575.58,1081474.40683795
576.64,637678.650303337
577.7,800234.181459052
578.76,532304.064593175
579.82,845751.654972094
580.88,750703.228126325
581.94,665434.994909626
583,934735.357459194
584.06,693692.791098482
585.12,893730.041514802
586.18,774674.135360118
587.24,684434.662851605
588.3,879033.543798767
589.36,609990.313525531
590.42,865643.479559255
591.48,780162.565443834
592.54,836968.13127183
593.6,941832.05228158
594.66,692120.508542628
595.72,936313.224295171
596.78,759851.35497576
597.84,664582.005551125
598.9,764213.290852177
599.96,819502.416177555
601.02,782578.756949284
602.08,997788.039976693
603.14,946132.768616587
604.2,978693.656247684
605.26,790880.51482535
606.32,1150468.14353976
607.38,959577.090497097
608.44,946099.07651485
609.5,789750.507266095
610.56,891130.64289877
611.62,1062579.55059635
612.68,934022.805142159
613.74,1007850.44102829
614.8,1257109.59622596
615.86,972150.233039764
616.92,1305212.18032951
617.98,759188.325564245
619.04,823319.313949438
620.1,966250.022328161
621.16,807751.519956082
622.22,614404.787970093
623.28,181751.476557184
624.34,647901.365282877
625.4,526242.504142707
626.46,172960.982738653
627.52,172633.181951178
628.58,507798.741240767
629.64,702203.48854122
630.7,628714.194926323
631.76,372948.79099882
632.82,189802.804791425
633.88,513995.154759422
634.94,629320.970322963
636,656573.824076577
637.06,528443.524647325
638.12,557759.798847915
639.18,582475.698224513
640.24,539506.589659779
641.3,589032.060330054
642.36,572127.064063976
643.42,616245.362941986
644.48,763275.893177132
645.54,485935.466127551
646.6,861717.617795991
647.66,583110.977270154
648.72,652255.142536953
649.78,593291.696161253
650.84,785894.750606761
651.9,648542.019383057
652.96,779414.505724781
654.02,623614.768070704
655.08,771160.411911146
656.14,812008.642154283
657.2,820168.074159904
658.26,771930.8814149
659.32,931146.781111777
660.38,883286.130533983
661.44,664063.97677188
662.5,628952.049094325
663.56,938085.632638095
664.62,967900.576551874
665.68,862408.751330767
666.74,934056.282751485
667.8,1052429.11697774
668.86,933846.047076029
669.92,967900.576551874
670.98,759572.711709817
672.04,956810.068305391
673.1,1070261.92347367
674.16,975994.749334533
675.22,970276.499551966
676.28,1033814.08764642
677.34,1142436.3639013
678.4,827723.365437534
679.46,165910.435969299
680.52,166643.505175495
681.58,170548.174210117
682.64,165910.435969299
683.7,173887.880587188
684.76,174747.796531619
685.82,172796.752937726
686.88,667491.746844949
687.94,475706.74266579
689,948050.186956871
690.06,543720.087267151
691.12,813459.996436814
692.18,820878.777563255
693.24,628370.126564116
694.3,659611.060743393
695.36,741277.841967631
696.42,650350.988273945
697.48,593664.740917391
698.54,707241.514786735
699.6,647054.805283386
700.66,782578.756949284
701.72,648516.88506417
702.78,532388.094399525
703.84,578757.256988212
704.9,535543.503507896
705.96,863875.600955022
707.02,540040.595067154
708.08,1043467.63814525
709.14,493787.31122564
710.2,545957.668690942
711.26,624601.861971107
712.32,490457.285701742
713.38,565269.523299772
714.44,799940.455385668
715.5,860905.454501482
716.56,655083.126974761
717.62,812616.530887802
718.68,895319.755228022
719.74,495999.576441805
720.8,601311.863759091
721.86,811653.170854636
722.92,700834.645728256
723.98,628958.510713025
725.04,1100018.26121435
726.1,893873.188797671
727.16,833767.77175474
728.22,942225.932771703
729.28,697914.782170071
730.34,849497.48351856
731.4,928926.286548274
732.46,847219.435739837
733.52,799662.05951852
734.58,861952.17012729
735.64,893322.570040643
736.7,1059893.74650985
737.76,954569.515402598
738.82,836168.645992752
739.88,1042992.08230649
740.94,788459.584898458
742,1131942.56768377
743.06,1225112.4946741
744.12,1229728.16865104
745.18,984142.293768046
746.24,975843.629446453
747.3,894669.73020959
748.36,911618.638149376
749.42,1235897.01819659
